event1 event2 CC dt_sec evla_eq1 evlo_eq1 evdp_eq1_km evla_eq2 evlo_eq1 evdp_eq2_km  
20041228111724 20050109145835 0.88   -8.89760   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20050109221240 0.93   -2.82640   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20050114170816 0.86   -0.55090   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20050114225109 0.85   -5.94580   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20050117003610 0.85   -6.95210   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20050124175907 0.91   -2.25080   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20050125095415 0.90   -5.20620   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20050126234323 0.95   -7.46480   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20050127224816 0.85   -6.01580   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20050129025512 0.88   -7.63420   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20050129182054 0.90   -5.95820   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20050201024912 0.94   -4.13990   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20050202090418 0.86   -3.88870   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20050203045123 0.92   -9.39950   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20050208043922 0.91   -3.47460   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20050217053108 0.86   -1.92550   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20050219032328 0.92   -3.84660   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20050219234510 0.88   -6.28420   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20050227090036 0.91   -5.36550   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20050302144528 0.93   -6.05650   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20050306051343 0.90   -3.66770   1.01  97.17  30.00   1.01  97.17  30.00
