event1 event2 CC dt_sec
20050330032942 20060818074906 0.88 -1.9651
20050330032942 20150225082930 0.86 -1.7540
20050330034458 20050411081901 0.87 0.1169
20050330034458 20060201015830 0.85 -3.6020
20050330034458 20061110164801 0.88 -4.0886
20050330034458 20100414090150 0.90 -2.8799
20050330051711 20050331123314 0.91 0.4562
20050330051711 20050404030546 0.95 1.5899
20050330051711 20050412045223 0.96 1.2101
20050330051711 20050419090754 0.95 1.0390
20050330051711 20050425142931 0.91 0.9981
20050330051711 20050527003043 0.96 1.9998
20050330051711 20050711162047 0.96 1.6930
20050330051711 20050922081837 0.93 0.7040
20050330051711 20060106054644 0.91 -1.5617
20050330051711 20060307194002 0.91 -1.6075
20050330051711 20070201102204 0.95 -2.5735
20050330051711 20130427100317 0.94 2.6687
20050330051711 20170204013635 0.93 -0.9484
20050330051711 20190623075408 0.87 2.9207
20050330064029 20050331171647 0.94 -1.5122
20050330064029 20050403222408 0.87 -3.7251
20050330064029 20050409104910 0.85 -0.6716
20050330064029 20050607173650 0.94 -0.4822
20050330064029 20070426060206 0.92 -6.5829
20050330064029 20091024022730 0.90 -2.9067
20050330071505 20060529043019 0.93 -1.5710
20050330071505 20100610042233 0.94 -0.7402
20050330071505 20150519183401 0.94 -0.7916
20050330083813 20050404112708 0.92 2.8961
20050330083813 20050408080317 0.92 1.3828
20050330083813 20050904073518 0.91 1.6164
20050330083813 20061021115304 0.92 -0.7422
20050330083813 20070726192237 0.85 -0.6101
20050330083813 20080303200522 0.93 -2.6909
20050330083813 20090628133142 0.94 -0.3007
20050330083813 20100915114205 0.88 -0.8997
20050330083813 20191015185650 0.93 0.5439
20050330093053 20050421094943 0.86 -1.7487
20050330095149 20050330100104 0.86 0.1158
20050330120322 20050410160528 0.95 0.8659
20050330120322 20050421040511 0.85 -2.1122
20050330120322 20050506100816 0.95 0.1188
20050330120322 20050603120742 0.95 -0.0864
20050330120322 20050713160119 0.93 0.0565
20050330120322 20050825222412 0.92 -1.8737
20050330120322 20060106070648 0.95 -3.5869
20050330120322 20060815030209 0.94 1.2870
20050330120322 20070508053121 0.88 -2.2988
20050330120322 20080722122756 0.94 -3.4738
20050330120322 20100606013735 0.93 -2.1223
20050330120322 20150215101455 0.94 -1.4681
20050330120322 20191102144412 0.86 -1.3310
20050330121623 20050415213702 0.96 0.5307
20050330121623 20050526124545 0.95 0.8815
20050330121623 20051208224316 0.97 -0.4584
20050330121623 20081223213945 0.93 -0.8708
20050330121623 20110110031047 0.89 -1.0069
20050330121623 20150330150129 0.96 2.2822
20050330141738 20050330203504 0.85 -0.0403
20050330141738 20050401030127 0.85 -0.4515
20050330141738 20050406084419 0.86 -2.2662
20050330141738 20050427050205 0.85 -3.9614
20050330141738 20050815195631 0.85 -6.3756
20050330141738 20060126200440 0.85 -3.6933
20050330141738 20090411000330 0.87 -2.6374
20050330143817 20050404220715 0.97 2.2223
20050330143817 20050421220702 0.97 0.2999
20050330143817 20050522064312 0.88 -0.3399
20050330143817 20050702110428 0.95 1.4790
20050330143817 20050905152010 0.93 0.7828
20050330143817 20051118171107 0.91 -0.5073
20050330143817 20060131131925 0.95 -3.2121
20050330143817 20060801215636 0.95 -3.0033
20050330143817 20070715052712 0.90 -2.7145
20050330143817 20080902121427 0.94 -3.6893
20050330143817 20101231175754 0.91 -2.3651
20050330143817 20161121205425 0.86 -1.7820
20050330144951 20050412043950 0.96 1.2927
20050330144951 20060731014555 0.96 -6.0831
20050330144951 20100414182610 0.93 0.1058
20050330144951 20110305072515 0.95 -0.0260
20050330144951 20190515022939 0.91 -0.0760
20050330160502 20050416103002 0.86 -0.9616
20050330160502 20050420175035 0.88 -0.6979
20050330160502 20050503121431 0.90 -0.9167
20050330160502 20050510134135 0.89 1.0455
20050330160502 20050711170824 0.87 1.1324
20050330160502 20050728201537 0.89 -1.0097
20050330160502 20050826101712 0.85 -1.1057
20050330160502 20060907192051 0.87 -1.7586
20050330161753 20050403071511 0.86 0.1144
20050330161753 20050410152459 0.86 -0.5396
20050330161753 20050417153137 0.87 2.5531
20050330161753 20050425055615 0.86 -0.3301
20050330161753 20050515163149 0.87 1.9171
20050330161753 20050701165743 0.86 2.0446
20050330161753 20050825092432 0.86 2.4918
20050330161753 20051101002645 0.85 -0.7250
20050330161753 20060205061337 0.85 -1.8167
20050330161753 20070502015541 0.85 -1.3418
20050330163609 20050418012121 0.89 -0.7566
20050330163609 20051028051658 0.86 0.5977
20050330163609 20130930204609 0.91 0.1867
20050330163609 20140621163004 0.86 1.4193
20050330164601 20050412223941 0.90 -8.4641
20050330164601 20050731054010 0.88 -2.5837
20050330164601 20061008211350 0.87 -2.5285
20050330180121 20050403005155 0.92 0.1559
20050330180121 20050408013424 0.87 0.1483
20050330180121 20050415010050 0.91 -1.1210
20050330180121 20050430121804 0.91 -1.0202
20050330180121 20050529171629 0.91 -0.0713
20050330180121 20050630072612 0.89 1.5202
20050330180121 20050827132404 0.87 1.3652
20050330180121 20051127234842 0.87 -3.5435
20050330180121 20051227214827 0.87 -3.2817
20050330180121 20081103193023 0.86 -3.5551
20050330180121 20090524114026 0.89 1.8253
20050330181646 20050403134015 0.96 -0.7926
20050330181646 20050410005516 0.97 0.8074
20050330181646 20050417011029 0.91 0.4272
20050330181646 20050511033853 0.88 -0.8701
20050330181646 20050530090233 0.97 0.2272
20050330181646 20050630095419 0.93 -0.7824
20050330181646 20050802071544 0.95 -1.6094
20050330181646 20051019184754 0.96 -0.8961
20050330181646 20060122045045 0.96 -2.9075
20050330181646 20060617180935 0.89 -3.1421
20050330181646 20070210081021 0.92 -5.4410
20050330181646 20071028175131 0.89 -3.9342
20050330181646 20081026095056 0.91 -2.9453
20050330181646 20100930214719 0.92 -1.6843
20050330181646 20120626170845 0.92 -1.0167
20050330181646 20190302223032 0.94 -1.5218
20050330182231 20050409075330 0.92 -0.2179
20050330182231 20050420003032 0.93 -2.1152
20050330182231 20050623084307 0.90 -1.8348
20050330182231 20051005002723 0.95 -0.8194
20050330182231 20060207192446 0.91 -2.3568
20050330182231 20060910184125 0.95 -3.7972
20050330182231 20070329013602 0.89 0.5276
20050330182231 20071026224515 0.90 -8.9691
20050330182231 20130709010539 0.95 -1.9374
20050330182231 20140601183143 0.90 -1.5017
20050330182615 20100518004104 0.88 -1.6399
20050330182615 20100823113735 0.85 -1.6008
20050330183318 20050330210414 0.88 1.1722
20050330183318 20050402054315 0.89 0.8107
20050330183318 20050405101041 0.85 1.5719
20050330183318 20050408180539 0.87 -0.0285
20050330183318 20050425194633 0.90 -2.4073
