station,event1,event2,Δτl,Δτc,Δτr,ccl,ccc,ccr,Δτ
II.DGAR.00.BHZ,2005-05-03T15:58:15.58,2014-07-15T01:00:10.75,"[-1.1925424508680609, -1.0039360263761385]","[-0.7015557093485777, -0.6777544001032999]","[-0.21951251948603323, -0.35144349108244155]","[0.5476136386468863, 0.5409754854138034]","[0.8030946792471123, 0.665999595470832]","[0.6829594205588684, 0.48979590063251083]","[-0.7015557093485777, -0.6777544001032999]"
II.DGAR.00.BHZ,2005-05-04T12:24:29.21,2005-06-08T08:27:17.33,"[-0.16818341004408857, -0.021444143660263884]","[0.30340008973758315, 0.3051153033108997]","[0.7780345292301002, 0.6339353201756566]","[0.6770026916703011, 0.683867061432974]","[0.8808080166547247, 0.825009307867708]","[0.6929844542969202, 0.6311413862560399]","[0.30340008973758315, 0.3051153033108997]"
II.DGAR.00.BHZ,2005-05-04T12:24:29.21,2005-09-02T01:15:44.32,"[0.35262282622310026, 0.45830336578250946]","[0.8261730130113388, 0.7898257667171569]","[1.3118946852729612, 1.1132718586019954]","[0.5295462101247205, 0.5288156277563386]","[0.6982175734935314, 0.6107636688660577]","[0.5854624737261022, 0.46144047657127885]","[0.8261730130113388, 0.7898257667171569]"
II.DGAR.00.BHZ,2005-05-04T12:24:29.21,2006-05-29T19:32:47.8,"[1.027035188385107, 1.1872740331743323]","[1.501168831186463, 1.5130368260566769]","[1.9639945261431007, 1.842192955181885]","[0.5566960505730026, 0.6377763276469272]","[0.7610642627786227, 0.746555742915998]","[0.5952711763698988, 0.5826594705291807]","[1.501168831186463, 1.5130368260566769]"
II.DGAR.00.BHZ,2005-05-04T21:30:04.35,2008-08-22T06:46:57.86,"[-0.4041770278517639, -0.188706074229511]","[0.08126584090780488, 0.12124130028691157]","[0.5714813776025436, 0.43514522696495145]","[0.49792202294181614, 0.46341829951070285]","[0.6739470542019417, 0.6462905607701168]","[0.6126525135207987, 0.5903168235124522]","[0.08126584090780488, 0.12124130028691157]"
II.DGAR.00.BHZ,2005-05-04T23:29:25.55,2009-11-17T07:40:16.48,"[-0.7210416098012015, -0.5517512014106677]","[-0.23802728235453588, -0.2300080915513888]","[0.2495987516513127, 0.09063350980123756]","[0.523715840496442, 0.6009478489752479]","[0.8259016975849287, 0.7462924716373334]","[0.6516674916892305, 0.6084545567039438]","[-0.23802728235453588, -0.2300080915513888]"
II.DGAR.00.BHZ,2005-05-05T07:03:20.36,2005-06-15T08:27:23.49,"[2.3184864399113847, 2.4559234107049273]","[2.798576489094229, 2.777431860408957]","[3.2804281312397507, 3.1004146418058216]","[0.592898723654256, 0.6955272638650677]","[0.7581898564908317, 0.8312969186383198]","[0.541149460097205, 0.6712422405644437]","[2.798576489094229, 2.777431860408957]"
II.DGAR.00.BHZ,2005-05-05T07:03:20.36,2006-08-08T10:07:06.87,"[-1.3788326591362219, -1.1798102632060412]","[-0.9044180072101655, -0.8586068967533864]","[-0.4281818963811758, -0.5305461408313824]","[0.5235609651050744, 0.5181070698048744]","[0.8118510401534469, 0.7883884865195603]","[0.7743959609159463, 0.7534595139778322]","[-0.9044180072101655, -0.8586068967533864]"
II.DGAR.00.BHZ,2005-05-05T07:03:20.36,2008-09-09T15:15:15.68,"[-1.9271333436864309, -1.7474972621871634]","[-1.437502811026347, -1.4294634751111972]","[-0.9621943549951738, -1.1108339920868675]","[0.5142073050251359, 0.4832818986728305]","[0.6434892424401759, 0.6421970178121926]","[0.4606305743856299, 0.5485888928837891]","[-1.437502811026347, -1.4294634751111972]"
II.DGAR.00.BHZ,2005-05-05T22:57:30.34,2006-02-12T11:31:13.07,"[1.8058662267219319, 2.0379383676557468]","[2.3048121877348415, 2.359186338504421]","[2.7894947822641747, 2.680723230703952]","[0.49713459541959165, 0.4872091280870944]","[0.8144763911707119, 0.6520612328738059]","[0.7642832170171745, 0.5731649221011406]","[2.3048121877348415, 2.359186338504421]"
II.DGAR.00.BHZ,2005-05-05T22:57:30.34,2008-12-30T17:28:19.5,"[0.20715570522698856, 0.43635246685863244]","[0.6984949040768642, 0.7551074859358943]","[1.1788049454436211, 1.0770442102479576]","[0.5426078994155493, 0.5539011751573125]","[0.8783516256665853, 0.8024175042650773]","[0.787411077663961, 0.7353281089860321]","[0.6984949040768642, 0.7551074859358943]"
II.DGAR.00.BHZ,2005-05-06T02:03:34.67,2005-08-13T22:19:40.12,"[0.28166253954427717, 0.41752493853398964]","[0.7483303005424008, 0.7428655700872743]","[1.2160142408719496, 1.0679223802214164]","[0.6895660244544036, 0.6541078345821393]","[0.9036396808998634, 0.8204432897293548]","[0.7093581706339982, 0.5985871543143608]","[0.7483303005424008, 0.7428655700872743]"
II.DGAR.00.BHZ,2005-05-06T02:03:34.67,2006-04-18T23:04:56.73,"[-0.5216395391968445, -0.39638433757597297]","[-0.05263786717365145, -0.060846601186469715]","[0.41472177019473944, 0.268628953894176]","[0.7493549140601492, 0.4892016052634548]","[0.8984803116944083, 0.654939093326356]","[0.6533312065490634, 0.47414589842880517]","[-0.05263786717365145, -0.060846601186469715]"
II.DGAR.00.BHZ,2005-05-06T02:03:34.67,2009-07-07T00:43:59.5,"[0.8600886056593801, 0.9727047758883385]","[1.3267941092398046, 1.3031073253575136]","[1.792066847143292, 1.6345241533801618]","[0.5420759981088709, 0.5396446492012011]","[0.6931133439667359, 0.5916531179347595]","[0.4904948358197865, 0.4048673901565288]","[1.3267941092398046, 1.3031073253575136]"
II.DGAR.00.BHZ,2005-05-06T02:03:34.67,2014-07-05T16:00:22.42,"[0.12397250142650584, 0.2534754148932419]","[0.5943865079258353, 0.574984941541093]","[1.0682919283488004, 0.8966733728246712]","[0.6407736941117206, 0.7278686841283935]","[0.8163437351136776, 0.8336253905236584]","[0.6144253522482931, 0.5463060559691251]","[0.5943865079258353, 0.574984941541093]"
II.DGAR.00.BHZ,2005-05-06T10:08:18.12,2005-06-03T12:07:43.9,"[-0.3626057680165928, -0.18336764016875212]","[0.13015672643744042, 0.1425293494019203]","[0.6208590324999266, 0.47139203473383867]","[0.699002387396353, 0.623881945567313]","[0.9440886930350381, 0.8019243251116078]","[0.8013612661405894, 0.635502909780524]","[0.13015672643744042, 0.1425293494019203]"
II.DGAR.00.BHZ,2005-05-06T10:08:18.12,2006-01-06T07:06:45.99,"[0.2627661544226612, 0.5038085186064873]","[0.7686929345735601, 0.8241456354805764]","[1.2563938332249884, 1.1462669849667269]","[0.5612206686415376, 0.562291747879352]","[0.8472285299689516, 0.7760897617095722]","[0.8298300820529754, 0.6181652380095533]","[0.7686929345735601, 0.8241456354805764]"
II.DGAR.00.BHZ,2005-05-06T10:08:18.12,2008-07-22T12:27:55.4,"[-1.1338881610246012, -0.987669517372574]","[-0.6404181375581298, -0.6662284234167826]","[-0.14605380333424473, -0.3430992643661263]","[0.6709142419054025, 0.6923865224406952]","[0.8519202623328229, 0.7312930029462542]","[0.710951855273535, 0.4390596965207657]","[-0.6404181375581298, -0.6662284234167826]"
II.DGAR.00.BHZ,2005-05-06T10:08:18.12,2015-02-15T10:14:55.78,"[-0.5404980268283576, -0.33887144069372277]","[-0.04067929549989846, -0.013925178889183432]","[0.4456452736223817, 0.30915086774353573]","[0.6035587832741054, 0.6683613579637554]","[0.8640208057678399, 0.7851792460687853]","[0.8425124861028477, 0.5449061312148252]","[-0.04067929549989846, -0.013925178889183432]"
II.DGAR.00.BHZ,2005-05-06T13:45:45.25,2005-05-22T17:05:47.14,"[5.162016861216387, 5.317758784458756]","[5.641585616811118, 5.645378889050861]","[6.120937452710813, 5.970910635615778]","[0.4442564939101277, 0.6110932129143027]","[0.6162518108867955, 0.6894624842124476]","[0.5073377048268717, 0.5932672293510769]","[5.641585616811118, 5.645378889050861]"
