station,event1,event2,Δτl,Δτc,Δτr,ccl,ccc,ccr,Δτ
H08S2,2005-04-01T11:57:02.05,2005-05-07T07:43:10.77,"[0.5028697040606017, 0.6122397201194901]","[0.9570215448092404, 0.9479664421225025]","[1.4125560338686123, 1.277460245250179]","[0.6424788686198805, 0.4497292487287939]","[0.8913260943783566, 0.5770967147958442]","[0.6101316799432379, 0.5013726739833427]","[0.9570215448092404, 0.9479664421225025]"
H08S2,2005-04-01T11:57:02.05,2006-01-21T15:17:49.72,"[0.05755540664022655, 0.23412073197881003]","[0.5292349242405312, 0.56433239264719]","[0.9914890000691304, 0.8923741087146227]","[0.5262635399516284, 0.45676124515204225]","[0.8484859477345864, 0.6035507222435836]","[0.6735118558413845, 0.5462462856852411]","[0.5292349242405312, 0.56433239264719]"
H08S2,2005-04-01T11:57:02.05,2008-06-02T03:49:15.79,"[-0.43828893564300897, -0.31946986087868645]","[0.013724210339348501, 0.014618960393825185]","[0.4744066709766892, 0.34054871852495594]","[0.528417329502858, 0.33551493718052977]","[0.7503205029728223, 0.5102855882357087]","[0.5541218772651972, 0.5253632818493823]","[0.013724210339348501, 0.014618960393825185]"
H08S2,2005-04-01T14:15:41.07,2005-05-01T09:47:38.14,"[-5.673838925978333, -5.5477627155956]","[-5.228153376959656, -5.222626986236411]","[-4.777104812585888, -4.89857477478437]","[0.3975881252532055, 0.6139629231273712]","[0.8045179037622201, 0.6830063830140477]","[0.5955226695872249, 0.49221987940059914]","[-5.228153376959656, -5.222626986236411]"
H08S2,2005-04-01T14:18:07.19,2005-08-26T06:06:59.91,"[-0.5862296861218428, -0.46757877566549794]","[-0.13426256641949974, -0.1353082831739473]","[0.318698655246901, 0.1936583249892686]","[0.5241019559350341, 0.4233643376339911]","[0.7701502957685243, 0.567261545947542]","[0.4972411329718122, 0.4746792578629008]","[-0.13426256641949974, -0.1353082831739473]"
H08S2,2005-04-01T14:37:03.66,2005-05-05T07:03:20.36,"[-1.0573949005595416, -0.9348906127247154]","[-0.5883349192950182, -0.6115665475134384]","[-0.11454020609061083, -0.29209451690973287]","[0.7081128068313552, 0.6446789526788831]","[0.9033395331593307, 0.7575243898758627]","[0.6955996592647733, 0.5748992197961129]","[-0.5883349192950182, -0.6115665475134384]"
H08S2,2005-04-01T14:37:03.66,2006-08-08T10:07:06.87,"[-1.9973966770897607, -1.845296865242528]","[-1.522170667257785, -1.5057868234161966]","[-1.047800108067964, -1.175043587142465]","[0.6786814404747044, 0.46789264976094486]","[0.9032670726735231, 0.6571790623468987]","[0.7483741256433648, 0.6278741917564485]","[-1.522170667257785, -1.5057868234161966]"
H08S2,2005-04-01T14:37:03.66,2008-09-09T15:15:15.68,"[-2.5463880641797796, -2.412671330843862]","[-2.0773134996451805, -2.0773507556003126]","[-1.605089003487094, -1.7438110247870566]","[0.6566537248803359, 0.49528948177076143]","[0.8121005576846426, 0.5984327731767707]","[0.5815909591356221, 0.5122172510243822]","[-2.0773134996451805, -2.0773507556003126]"
H08S2,2005-04-02T05:43:17.36,2005-04-05T10:10:42.88,"[0.7516222820406345, 0.8509382758767073]","[1.199550639007223, 1.1768892818130146]","[1.647465632583687, 1.5047794989078336]","[0.6839892151851511, 0.47345114485315937]","[0.8449472583732504, 0.5105652871789289]","[0.5151894795056741, 0.2727714386723596]","[1.199550639007223, 1.1768892818130146]"
H08S2,2005-04-02T05:43:17.36,2008-12-08T08:53:19.26,"[0.26764621806129385, 0.4111848709167573]","[0.7103889597081271, 0.7287854396933428]","[1.1519151815579556, 1.0523678063545756]","[0.6032126312089201, 0.5498524581962114]","[0.8948513244853318, 0.764973432084952]","[0.668953484520221, 0.5815870223944626]","[0.7103889597081271, 0.7287854396933428]"
