time,latitude,longitude
2008-10-26T21:55:43.88,39.3359,143.5278
2008-11-03T17:05:42.40,37.78,142.78
2008-11-03T20:30:48.40,39.05,140.87
2008-11-08T10:22:29.85,38.8411,140.7457
2008-11-12T04:39:47.78,38.8965,140.8165
2008-11-19T21:43:01.20,38.54,141.72
2008-11-22T20:27:42.10,39.08,140.9
2008-11-23T09:12:42.33,38.8062,141.6411
2008-12-04T08:29:38.94,37.552,141.4958
2008-12-05T20:20:30.10,38.5764,143.15
2008-12-11T06:22:34.63,38.6427,143.2296
2008-12-17T20:43:39.87,39.182,142.5027
2009-01-14T19:09:23.34,39.6378,142.1534
2009-02-15T12:54:14.51,37.7015,142.1752
2009-02-15T22:39:05.04,38.1943,141.6845
2009-02-17T00:12:57.05,37.5426,141.3599
2009-03-14T02:11:22.90,38.24,141.69
2009-03-24T06:17:37.30,39.6204,142.1444
2009-04-09T18:34:12.09,39.7404,141.8552
2009-04-21T06:35:48.06,37.3937,142.341
2009-04-27T15:20:12.00,37.5222,142.9547
2009-05-01T21:40:41.90,38.64,141.91
2009-06-05T20:28:25.20,38.17,141.67
2009-06-13T13:35:21.50,37.17,141.46
2009-06-17T08:51:29.94,39.7403,141.8318
2009-07-02T03:50:19.95,37.9025,141.9318
2009-07-25T16:16:34.06,39.1453,142.9493
2009-08-03T07:19:30.83,37.2586,141.5017
2009-09-01T06:49:44.68,37.1462,141.4037
2009-09-04T17:37:00.83,38.2863,141.9653
2009-09-13T11:20:02.70,37.46,141.57
2009-09-16T08:19:52.70,37.35,141.35
2009-10-06T09:45:12.44,36.9977,142.9168
2009-10-07T21:32:58.30,37.4655,142.9587
2009-10-08T15:47:16.36,37.4667,142.9899
2009-10-13T21:15:42.90,37.57,143.03
2009-10-26T13:18:50.79,39.6945,143.4468
2009-10-26T23:10:26.87,38.8622,142.074
2009-12-10T21:22:23.99,37.3017,142.981
2009-12-17T09:33:50.37,37.2367,141.0456
2009-12-30T22:05:40.33,39.0679,142.1506
2010-01-15T22:08:20.30,38.54,141.72
2010-02-01T16:45:40,39.04,140.86
2010-02-02T09:52:01.40,39.04,140.86
2010-02-14T02:57:37.98,37.1851,141.392
2010-02-21T00:56:56.62,37.4277,141.6042
2010-03-05T07:39:44.52,38.2636,141.8754
2010-03-14T05:40:07.91,39.8886,142.5745
2010-03-19T05:18:17.80,37.26,142.19
2010-03-19T13:44:42.70,37.25,142.18
2010-03-25T03:26:57.90,37.7,141.77
2010-04-17T20:42:19,37.15,142.25
2010-05-04T11:01:52.80,37.7,141.77
2010-06-01T04:49:22.74,37.5384,141.4621
2010-06-16T04:28:59.90,38.67,142.17
2010-06-20T08:23:27.13,38.3077,141.934
2010-07-09T13:47:51.44,38.6072,141.9196
2010-07-15T09:05:33.50,37.4643,143.211
2010-08-09T10:09:16.73,39.6253,142.2577
2010-08-10T16:00:38.50,39.4529,143.4528
2010-08-10T20:00:19.34,39.4175,143.3865
2010-08-11T11:03:36,39.5,143.46
2010-08-11T18:51:21.52,39.4329,143.3865
2010-08-12T01:09:10.29,39.4956,143.3203
2010-08-13T02:38:11.53,39.7589,141.8648
2010-08-15T11:16:21.40,39.45,143.67
2010-08-15T15:07:52.94,39.502,143.6141
2010-08-22T02:20:01,37.54,142.64
2010-09-10T23:28:15.95,38.4962,142.0738
2010-09-19T12:04:22.82,39.2528,142.7083
2010-10-02T22:55:08,38.24,141.7
2010-10-24T21:09:58.82,39.7489,141.828
2010-10-29T11:08:24.20,37.79,141.56
2010-11-01T12:20:57.66,37.4625,143.1796
2010-11-02T00:52:51.60,37.28,140.96
2010-11-18T19:08:09.33,39.6772,142.1149
2010-11-19T00:18:15.70,37.16,141.46
2010-12-19T01:17:00.50,37.46,141.57
2011-01-11T16:01:15.55,37.119,141.5098
2011-01-12T03:43:03.53,39.1281,143.1599
2011-01-12T23:26:28.10,37.17,141.4
2011-01-14T04:37:44,37.17,141.4
2011-02-04T04:57:58.23,39.1716,143.1499
2011-02-17T05:06:18.53,38.4328,143.3059
2011-02-19T23:17:33.89,37.1418,141.4232
2011-02-26T07:34:49.30,37.1302,141.6183
2011-02-26T09:57:47.23,37.1708,141.5307
2011-03-01T14:12:53.01,37.1359,141.5075
2011-03-09T03:54:01.70,38.5052,143.1985
2011-03-09T06:43:44.92,38.3141,143.2659
2011-03-09T19:19:49.78,38.5979,143.2632
2011-03-09T19:23:19.60,39.1818,143.1867
2011-03-12T09:55:03.82,37.2593,141.2754
2011-03-12T13:01:15.86,37.4776,143.6784
2011-03-12T22:36:40.91,39.7649,142.4597
2011-03-13T00:21:27.50,37.5558,143.7863
2011-03-13T10:43:11.41,38.169,141.6165
2011-03-13T14:31:56.12,39.1511,142.8897
2011-03-14T04:45:37.21,37.2702,141.5791
2011-03-14T09:38:45.53,39.2958,142.3334
2011-03-14T23:00:17.66,38.6404,141.9917
2011-03-15T09:34:45.29,39.7892,143.4112
2011-03-15T16:03:39.72,37.259,141.3441
2011-03-15T23:10:15.54,37.2811,142.6395
2011-03-16T00:50:29.30,37.52,141.43
2011-03-16T12:48:35.82,37.2778,142.7007
2011-03-16T18:56:23.18,37.1798,140.8288
2011-03-16T21:11:26.97,38.7031,142.202
2011-03-17T17:34:50.57,38.6541,142.0219
2011-03-18T04:11:43.40,37.08,142.41
2011-03-18T16:31:08.09,37.2788,141.3929
2011-03-18T20:15:23.70,39.6995,143.1542
2011-03-19T16:28:42.33,39.8855,142.4003
2011-03-19T18:10:42.55,39.6935,142.4515
2011-03-19T23:32:16.30,38.6137,142.1961
2011-03-20T00:58:44.04,38.2367,142.039
2011-03-20T01:05:28.67,39.2813,142.3093
2011-03-20T02:11:28.82,37.7611,141.6247
2011-03-20T17:42:23.21,38.8954,142.1023
2011-03-20T18:43:44.66,38.2578,141.9533
2011-03-22T00:08:53.37,37.2586,141.4702
2011-03-22T02:19:30.20,37.5,141.37
2011-03-22T05:15:12.69,37.2165,142.4466
2011-03-22T17:20:49.83,39.4494,143.5651
2011-03-23T00:21:12.59,38.8725,142.028
2011-03-23T02:17:09.68,39.6169,143.6518
2011-03-23T04:13:10.97,39.7588,142.3787
2011-03-23T09:52:24.79,39.568,143.629
2011-03-23T17:19:07.21,39.3986,143.8199
2011-03-23T18:39:36.26,39.6336,143.4599
2011-03-24T06:13:37.57,37.2826,141.525
2011-03-24T07:47:04.20,37.2368,141.3521
2011-03-24T12:29:58.08,37.2115,142.1342
2011-03-24T12:37:36.64,37.1344,142.2287
2011-03-24T16:42:14.25,38.6574,142.0011
2011-03-24T22:59:42.32,37.1203,142.3787
2011-03-25T17:16:22.90,37.98,142.6
2011-03-25T21:22:00.20,37.72,139.97
2011-03-25T23:16:39.72,38.1382,141.7684
2011-03-25T23:45:55.90,37.08,142.47
2011-03-26T03:00:25.42,37.2939,141.3971
2011-03-26T11:37:58.41,37.6609,142.1716
2011-03-26T11:59:53.19,37.7118,142.2254
2011-03-26T14:53:59.90,37.63,141.82
2011-03-27T03:07:56.90,37.71,139.98
2011-03-27T05:31:23.53,39.878,142.409
2011-03-27T11:08:23.91,37.3387,141.6028
2011-03-27T12:43:51.17,39.2353,143.0001
2011-03-27T14:43:05.94,39.416,143.783
2011-03-27T18:37:10.64,39.5808,143.5383
2011-03-27T18:59:54.28,39.0832,142.9189
2011-03-28T12:39:13.13,39.2153,142.2091
2011-03-28T14:13:55.96,39.2619,142.2898
2011-03-28T22:00:39.09,37.246,141.6449
2011-03-28T23:51:30.98,39.3601,142.1654
2011-03-29T03:25:50.90,37.41,141.62
2011-03-29T20:40:46.06,37.0089,142.5627
2011-03-29T22:36:29.10,37.18,141.64
2011-03-30T05:02:12.28,38.9353,142.0061
2011-03-30T09:42:49.21,39.0575,142.4556
2011-03-30T15:01:06.53,37.1715,141.6332
2011-03-30T23:48:38,37.09,142.14
2011-03-31T14:20:32.76,38.8848,142.3768
2011-04-01T05:16:38.77,38.5338,141.7447
2011-04-01T21:58:59.64,38.6112,142.0206
2011-04-02T05:29:55.65,39.6258,143.5428
2011-04-02T07:02:00.20,37.33,141.38
2011-04-02T14:13:28.60,37.13,142.4
2011-04-02T18:23:31.89,38.5805,142.0198
2011-04-03T05:40:19.91,38.829,142.0565
2011-04-03T09:13:25.10,38.62,142.0
2011-04-04T03:28:45.70,38.1477,141.7359
2011-04-04T07:22:02.36,37.2179,140.8083
2011-04-04T10:37:25.51,38.1481,141.7125
2011-04-04T13:11:29.31,39.2507,142.8128
2011-04-04T15:47:05.54,37.5831,141.5902
2011-04-04T16:15:19.52,38.1642,141.7941
2011-04-04T21:52:56.25,38.2675,141.9058
2011-04-05T01:29:11.19,39.6765,142.1065
2011-04-05T07:19:48.23,37.4587,141.6064
2011-04-05T15:01:24.14,39.2992,142.2764
2011-04-05T19:43:39.21,39.7199,142.2783
2011-04-05T20:19:23.78,38.8062,142.085
2011-04-06T10:28:30.09,39.1256,142.432
2011-04-06T10:34:06.85,39.4454,143.9179
2011-04-06T19:20:18.99,39.4045,143.5273
2011-04-07T02:11:30.50,37.3002,141.5493
2011-04-07T11:59:16.03,38.4416,142.2425
2011-04-07T12:10:31.89,38.3694,142.1584
2011-04-07T15:23:31.67,37.5082,141.9947
2011-04-07T22:33:06.77,38.6288,142.0215
2011-04-07T23:39:26.66,38.8808,142.0919
2011-04-08T02:24:38.70,38.2358,141.9542
2011-04-08T03:00:05.66,37.1463,141.2148
2011-04-08T11:07:20.57,38.3079,141.9372
2011-04-08T23:27:23.23,39.7059,143.5383
2011-04-09T02:33:49.50,39.8567,143.3467
2011-04-10T10:48:17.31,38.4344,142.3098
2011-04-10T19:23:53.26,39.7287,142.566
2011-04-10T20:46:46.41,38.6857,141.8416
2011-04-11T21:21:19.10,38.8799,141.9277
2011-04-11T22:44:12.55,38.8517,142.0884
2011-04-11T22:45:29.93,38.553,142.1371
2011-04-12T09:00:49,37.2968,141.8409
2011-04-13T04:03:11.70,37.34,141.36
2011-04-13T08:26:05.80,38.6226,142.0393
2011-04-13T12:47:06.72,39.4015,143.6469
2011-04-13T14:00:07.64,39.5369,143.3574
2011-04-13T20:02:30.28,39.5434,143.4931
2011-04-13T22:50:38.89,39.5036,143.7829
2011-04-14T02:15:39.16,39.6446,143.5514
2011-04-14T04:46:31.72,39.7411,142.9956
2011-04-14T08:22:22.53,39.3888,143.832
2011-04-14T09:56:59.09,38.3585,141.877
2011-04-15T23:30:39.50,37.53,142.0
2011-04-16T03:22:39.54,38.2136,142.056
2011-04-16T13:22:52.13,37.4785,141.5401
2011-04-16T13:36:37.69,39.5805,142.0666
2011-04-16T20:54:09.33,38.632,141.9609
2011-04-17T01:30:28.71,37.768,143.774
2011-04-17T02:21:26,38.27,141.52
2011-04-17T07:06:04.37,38.873,142.0178
2011-04-17T09:06:41.50,38.29,141.53
2011-04-17T19:07:02.81,39.4887,143.6165
2011-04-18T00:19:18.96,38.8451,142.1655
2011-04-18T03:13:48.86,39.2522,142.2147
2011-04-18T10:56:04.52,38.5057,141.9574
2011-04-19T07:18:28.30,37.14,142.43
2011-04-19T09:54:28.80,37.49,141.37
2011-04-19T18:14:37.40,37.3,141.29
2011-04-20T06:05:20.40,38.84,142.03
2011-04-20T09:16:13.42,37.7239,141.8089
2011-04-21T05:42:14.60,39.75,142.37
2011-04-21T20:46:04.80,37.5,141.47
2011-04-21T20:47:16.50,37.5,141.47
2011-04-21T21:24:20.10,37.0086,142.6932
2011-04-22T03:12:54.53,38.525,141.909
2011-04-22T10:17:54.60,37.07,142.52
2011-04-22T16:22:12.30,37.5,141.36
2011-04-23T02:13:29.81,38.1695,141.7681
2011-04-23T14:45:34.76,37.313,141.4715
2011-04-23T20:14:44.70,37.71,141.83
2011-04-24T04:53:05.70,37.15,142.36
2011-04-25T00:46:08.41,38.7606,142.1136
2011-04-26T02:16:43.64,39.8893,142.2361
2011-04-26T04:52:20.17,38.2893,141.8652
2011-04-26T18:17:56.65,37.4386,141.3818
2011-04-27T23:33:29.70,37.54,142.01
2011-04-28T09:53:53.20,37.43,141.78
2011-04-28T16:43:51.86,38.5809,141.9591
2011-04-29T07:56:34.90,37.42,141.77
2011-04-29T21:08:05.10,37.43,141.78
2011-04-29T22:19:31.13,38.8624,142.0702
2011-04-30T06:33:23.98,37.2776,141.6149
2011-04-30T10:28:55.30,38.32,140.69
2011-04-30T10:50:18.90,37.01,142.32
